Pour ArsenalContre Arsenal;;;;;;;;;;Total;;;;;Court;;;Moyen;;;Long;;;;;;;;;;
Date;Heure;Comp;Tour;Jour;Tribune;RÃ©sultat;BM;BE;Adversaire;Cmp;Att;Cmp%;TotDist;DistBut;Cmp;Att;Cmp%;Cmp;Att;Cmp%;Cmp;Att;Cmp%;PD;xA;PC;01-mars;PPA;CntSR;Prog;Rapport de match
01/10/2017;12:00 (13:00);Premier League;JournÃ©e 7;Dim;Domicile;V;2;0;Brighton;608;705;86.2;10494;3063;289;324;89.2;237;268;88.4;63;86;73.3;1;1.5;17;54;14;1;46;Rapport de match
14/10/2017;17:30 (18:30);Premier League;JournÃ©e 8;Sam;ExtÃ©rieur;D;1;2;Watford;452;566;79.9;9325;3086;161;187;86.1;204;239;85.4;75;116;64.7;1;1.0;9;38;7;0;45;Rapport de match
19/10/2017;19:00;Europa Lg;Phase de groupe;Jeu;ExtÃ©rieur;V;1;0;rs Red Star;;;;;;;;;;;;;;;1;;;;;;;Rapport de match
22/10/2017;13:30 (14:30);Premier League;JournÃ©e 9;Dim;ExtÃ©rieur;V;5;2;Everton;544;656;82.9;10789;3510;199;217;91.7;240;272;88.2;87;134;64.9;4;2.2;18;46;19;4;53;Rapport de match
24/10/2017;19:45 (20:45);EFL Cup;QuatriÃ¨me tour;Mar;Domicile;V;2;1;Norwich City;;;;;;;;;;;;;;;2;;;;;;;Rapport de match
28/10/2017;15:00 (16:00);Premier League;JournÃ©e 10;Sam;Domicile;V;2;1;Swansea City;706;819;86.2;13625;3969;281;315;89.2;310;344;90.1;102;138;73.9;2;1.5;18;93;17;1;62;Rapport de match
02/11/2017;20:05 (21:05);Europa Lg;Phase de groupe;Jeu;Domicile;N;0;0;rs Red Star;;;;;;;;;;;;;;;0;;;;;;;Rapport de match
05/11/2017;14:15 (15:15);Premier League;JournÃ©e 11;Dim;ExtÃ©rieur;D;1;3;Manchester City;381;471;80.9;7341;2766;168;193;87.0;149;173;86.1;60;90;66.7;1;0.4;4;34;5;0;33;Rapport de match
18/11/2017;12:30 (13:30);Premier League;JournÃ©e 12;Sam;Domicile;V;2;0;Tottenham;280;414;67.6;5633;2360;118;145;81.4;112;152;73.7;49;103;47.6;2;1.3;11;26;11;2;40;Rapport de match
23/11/2017;19:00;Europa Lg;Phase de groupe;Jeu;ExtÃ©rieur;D;0;1;de KÃ¶ln;;;;;;;;;;;;;;;0;;;;;;;Rapport de match
26/11/2017;14:00 (15:00);Premier League;JournÃ©e 13;Dim;ExtÃ©rieur;V;1;0;Burnley;537;661;81.2;9606;2961;225;254;88.6;234;274;85.4;59;101;58.4;0;0.7;15;47;14;3;39;Rapport de match
29/11/2017;19:45 (20:45);Premier League;JournÃ©e 14;Mer;Domicile;V;5;0;Huddersfield;702;810;86.7;14262;4363;215;249;86.3;358;399;89.7;114;139;82.0;5;2.3;17;57;21;3;81;Rapport de match
02/12/2017;17:30 (18:30);Premier League;JournÃ©e 15;Sam;Domicile;D;1;3;Manchester Utd;572;696;82.2;10449;3623;237;265;89.4;257;304;84.5;66;98;67.3;1;2.5;25;54;34;2;86;Rapport de match
07/12/2017;20:05 (21:05);Europa Lg;Phase de groupe;Jeu;Domicile;V;6;0;by BATE Borisov;;;;;;;;;;;;;;;2;;;;;;;Rapport de match
10/12/2017;12:00 (13:00);Premier League;JournÃ©e 16;Dim;ExtÃ©rieur;N;1;1;Southampton;700;801;87.4;13582;3926;264;299;88.3;338;372;90.9;88;108;81.5;1;0.7;8;71;18;5;64;Rapport de match
13/12/2017;20:00 (21:00);Premier League;JournÃ©e 17;Mer;ExtÃ©rieur;N;0;0;West Ham;633;747;84.7;11738;3502;250;281;89.0;255;285;89.5;94;131;71.8;0;0.8;14;59;20;3;65;Rapport de match
16/12/2017;15:00 (16:00);Premier League;JournÃ©e 18;Sam;Domicile;V;1;0;Newcastle Utd;642;759;84.6;12806;3855;236;269;87.7;275;313;87.9;116;138;84.1;0;1.5;19;51;20;0;63;Rapport de match
19/12/2017;19:45 (20:45);EFL Cup;Quarts de finale;Mar;Domicile;V;1;0;West Ham;;;;;;;;;;;;;;;1;;;;;;;Rapport de match
22/12/2017;19:45 (20:45);Premier League;JournÃ©e 19;Ven;Domicile;N;3;3;Liverpool;381;518;73.6;7403;2504;138;168;82.1;178;216;82.4;59;111;53.2;3;0.7;9;26;13;3;46;Rapport de match
28/12/2017;20:00 (21:00);Premier League;JournÃ©e 20;Jeu;ExtÃ©rieur;V;3;2;Crystal Palace;563;684;82.3;10721;3415;231;258;89.5;249;284;87.7;78;116;67.2;2;1.2;10;54;17;2;55;Rapport de match
31/12/2017;16:30 (17:30);Premier League;JournÃ©e 21;Dim;ExtÃ©rieur;N;1;1;West Brom;550;661;83.2;10749;3025;207;232;89.2;246;290;84.8;83;118;70.3;0;0.8;10;53;11;2;47;Rapport de match
03/01/2018;19:45 (20:45);Premier League;JournÃ©e 22;Mer;Domicile;N;2;2;Chelsea;523;622;84.1;9244;3026;222;238;93.3;224;250;89.6;61;104;58.7;0;1.3;8;45;18;2;59;Rapport de match
07/01/2018;16:00 (17:00);FA Cup;TroisiÃ¨me tour;Dim;ExtÃ©rieur;D;2;4;Nott'ham Forest;;;;;;;;;;;;;;;0;;;;;;;Rapport de match
10/01/2018;20:00 (21:00);EFL Cup;Demi-finales;Mer;ExtÃ©rieur;N;0;0;Chelsea;;;;;;;;;;;;;;;0;;;;;;;Rapport de match
14/01/2018;13:30 (14:30);Premier League;JournÃ©e 23;Dim;ExtÃ©rieur;D;1;2;Bournemouth;422;570;74.0;7610;2640;180;217;82.9;180;222;81.1;52;108;48.1;1;1.1;10;32;6;0;44;Rapport de match
20/01/2018;15:00 (16:00);Premier League;JournÃ©e 24;Sam;Domicile;V;4;1;Crystal Palace;655;743;88.2;12376;3695;273;302;90.4;291;316;92.1;84;105;80.0;4;2.4;13;52;19;1;58;Rapport de match
24/01/2018;20:00 (21:00);EFL Cup;Demi-finales;Mer;Domicile;V;2;1;Chelsea;;;;;;;;;;;;;;;0;;;;;;;Rapport de match
30/01/2018;19:45 (20:45);Premier League;JournÃ©e 25;Mar;ExtÃ©rieur;D;1;3;Swansea City;851;933;91.2;16132;3920;361;394;91.6;371;388;95.6;112;135;83.0;1;0.9;6;83;16;2;63;Rapport de match
03/02/2018;17:30 (18:30);Premier League;JournÃ©e 26;Sam;Domicile;V;5;1;Everton;494;582;84.9;8818;2961;248;272;91.2;193;210;91.9;51;88;58.0;5;1.8;12;31;10;2;32;Rapport de match
10/02/2018;12:30 (13:30);Premier League;JournÃ©e 27;Sam;ExtÃ©rieur;D;0;1;Tottenham;396;504;78.6;7648;2466;164;187;87.7;163;200;81.5;61;102;59.8;0;0.3;4;37;7;1;30;Rapport de match
15/02/2018;19:00;Europa Lg;SeiziÃ¨mes de finale;Jeu;Terrain neutre;V;3;0;se Ã–stersund;;;;;;;;;;;;;;;2;;;;;;;Rapport de match
22/02/2018;20:05 (21:05);Europa Lg;SeiziÃ¨mes de finale;Jeu;Terrain neutre;D;1;2;se Ã–stersund;;;;;;;;;;;;;;;1;;;;;;;Rapport de match
25/02/2018;16:30 (17:30);EFL Cup;Finale;Dim;Domicile;D;0;3;Manchester City;;;;;;;;;;;;;;;0;;;;;;;Rapport de match
01/03/2018;19:45 (20:45);Premier League;JournÃ©e 28;Jeu;Domicile;D;0;3;Manchester City;448;573;78.2;8651;2664;175;209;83.7;193;224;86.2;68;110;61.8;0;0.5;6;32;5;1;38;Rapport de match
04/03/2018;13:30 (14:30);Premier League;JournÃ©e 29;Dim;ExtÃ©rieur;D;1;2;Brighton;553;658;84.0;10144;3117;246;277;88.8;220;242;90.9;76;116;65.5;1;1.1;11;37;15;4;49;Rapport de match
08/03/2018;19:00;Europa Lg;HuitiÃ¨mes de finale;Jeu;ExtÃ©rieur;V;2;0;it Milan;;;;;;;;;;;;;;;2;;;;;;;Rapport de match
11/03/2018;13:30 (14:30);Premier League;JournÃ©e 30;Dim;Domicile;V;3;0;Watford;423;518;81.7;7136;2607;205;230;89.1;164;196;83.7;40;64;62.5;3;1.7;9;31;7;0;36;Rapport de match
15/03/2018;20:05 (21:05);Europa Lg;HuitiÃ¨mes de finale;Jeu;Domicile;V;3;1;it Milan;;;;;;;;;;;;;;;1;;;;;;;Rapport de match
01/04/2018;13:30 (14:30);Premier League;JournÃ©e 32;Dim;Domicile;V;3;0;Stoke City;555;665;83.5;10871;3370;206;242;85.1;256;292;87.7;83;112;74.1;0;1.3;14;43;16;2;46;Rapport de match
05/04/2018;20:05 (21:05);Europa Lg;Quarts de finale;Jeu;Domicile;V;4;1;ru CSKA Moscow;;;;;;;;;;;;;;;3;;;;;;;Rapport de match
08/04/2018;14:15 (15:15);Premier League;JournÃ©e 33;Dim;Domicile;V;3;2;Southampton;611;736;83.0;11157;2747;272;300;90.7;262;305;85.9;71;106;67.0;3;1.6;11;53;8;1;44;Rapport de match
12/04/2018;22:05 (21:05);Europa Lg;Quarts de finale;Jeu;ExtÃ©rieur;N;2;2;ru CSKA Moscow;;;;;;;;;;;;;;;2;;;;;;;Rapport de match
15/04/2018;13:30 (14:30);Premier League;JournÃ©e 34;Dim;ExtÃ©rieur;D;1;2;Newcastle Utd;595;715;83.2;11784;3337;207;238;87.0;292;324;90.1;86;127;67.7;1;1.1;9;53;10;2;52;Rapport de match
22/04/2018;13:30 (14:30);Premier League;JournÃ©e 35;Dim;Domicile;V;4;1;West Ham;550;642;85.7;9376;3078;238;265;89.8;243;268;90.7;49;73;67.1;3;1.2;15;49;11;2;50;Rapport de match
26/04/2018;20:05 (21:05);Europa Lg;Demi-finales;Jeu;Domicile;N;1;1;es AtlÃ©tico Madrid;;;;;;;;;;;;;;;1;;;;;;;Rapport de match
29/04/2018;16:30 (17:30);Premier League;JournÃ©e 36;Dim;ExtÃ©rieur;D;1;2;Manchester Utd;357;430;83.0;6678;2093;147;166;88.6;168;190;88.4;40;69;58.0;1;0.6;7;25;11;2;27;Rapport de match
03/05/2018;21:05;Europa Lg;Demi-finales;Jeu;ExtÃ©rieur;D;0;1;es AtlÃ©tico Madrid;;;;;;;;;;;;;;;0;;;;;;;Rapport de match
06/05/2018;16:30 (17:30);Premier League;JournÃ©e 37;Dim;Domicile;V;5;0;Burnley;595;677;87.9;10393;3119;267;286;93.4;257;281;91.5;53;80;66.3;5;1.3;13;48;11;2;47;Rapport de match
09/05/2018;19:45 (20:45);Premier League;JournÃ©e 31;Mer;ExtÃ©rieur;D;1;3;Leicester City;390;493;79.1;7515;2554;172;201;85.6;160;186;86.0;54;87;62.1;0;1.1;9;28;10;1;30;Rapport de match
13/05/2018;15:00 (16:00);Premier League;JournÃ©e 38;Dim;ExtÃ©rieur;V;1;0;Huddersfield;413;520;79.4;8067;3099;136;171;79.5;229;264;86.7;47;73;64.4;1;1.3;5;28;7;0;33;Rapport de match
;;;;;;32-10-18;114;72;;20134;24284;82.9;381241;119499;8101;9213;87.9;8936;10169;87.9;2697;4026;67.0;81;46.1;442;1754;505;67;1842;
