Pour ChelseaContre Chelsea;;;;;;;;;;Total;;;;;Court;;;Moyen;;;Long;;;;;;;;;;
Date;Heure;Comp;Tour;Jour;Tribune;R̩sultat;BM;BE;Adversaire;Cmp;Att;Cmp%;TotDist;DistBut;Cmp;Att;Cmp%;Cmp;Att;Cmp%;Cmp;Att;Cmp%;PD;xA;PC;01-mars;PPA;CntSR;Prog;Rapport de match
06/10/2019;14:00 (15:00);Premier League;Journ̩e 8;Dim;Ext̩rieur;V;4;1;Southampton;422;549;76.9;8309;2694;157;186;84.4;203;240;84.6;55;100;55.0;4;1.9;13;34;9;0;33;Rapport de match
19/10/2019;15:00 (16:00);Premier League;Journ̩e 9;Sam;Domicile;V;1;0;Newcastle Utd;574;672;85.4;11528;2660;217;237;91.6;256;290;88.3;92;127;72.4;1;1.3;12;53;13;1;32;Rapport de match
23/10/2019;18:55;Champions Lg;Phase de groupe;Mer;Ext̩rieur;V;1;0;nl Ajax;396;488;81.1;7768;2701;174;200;87.0;148;176;84.1;65;96;67.7;1;1.4;14;33;4;1;32;Rapport de match
26/10/2019;17:30 (18:30);Premier League;Journ̩e 10;Sam;Ext̩rieur;V;4;2;Burnley;599;703;85.2;10845;3132;270;293;92.2;252;288;87.5;67;99;67.7;3;0.4;10;28;12;2;35;Rapport de match
30/10/2019;20:05 (21:05);EFL Cup;Quatri̬me tour;Mer;Domicile;D;1;2;Manchester Utd;;;;;;;;;;;;;;;0;;;;;;;Rapport de match
02/11/2019;17:30 (18:30);Premier League;Journ̩e 11;Sam;Ext̩rieur;V;2;1;Watford;721;807;89.3;13171;3251;313;338;92.6;317;345;91.9;82;109;75.2;2;1.9;12;30;8;0;27;Rapport de match
05/11/2019;20:00 (21:00);Champions Lg;Phase de groupe;Mar;Domicile;N;4;4;nl Ajax;355;454;78.2;7256;2319;143;171;83.6;147;171;86.0;60;94;63.8;1;1.5;16;25;13;4;28;Rapport de match
09/11/2019;12:30 (13:30);Premier League;Journ̩e 12;Sam;Domicile;V;2;0;Crystal Palace;524;610;85.9;10675;2975;191;210;91.0;253;281;90.0;76;105;72.4;1;1.7;14;49;11;2;53;Rapport de match
23/11/2019;17:30 (18:30);Premier League;Journ̩e 13;Sam;Ext̩rieur;D;1;2;Manchester City;582;660;88.2;10914;2602;230;249;92.4;278;298;93.3;67;100;67.0;1;0.9;7;29;8;0;33;Rapport de match
27/11/2019;18:55;Champions Lg;Phase de groupe;Mer;Ext̩rieur;N;2;2;es Valencia;403;476;84.7;7875;2885;179;200;89.5;158;173;91.3;60;92;65.2;1;2.2;13;20;19;7;43;Rapport de match
30/11/2019;15:00 (16:00);Premier League;Journ̩e 14;Sam;Domicile;D;0;1;West Ham;622;722;86.1;12212;3337;260;281;92.5;252;284;88.7;104;140;74.3;0;1.4;14;46;11;1;58;Rapport de match
04/12/2019;19:30 (20:30);Premier League;Journ̩e 15;Mer;Domicile;V;2;1;Aston Villa;578;674;85.8;9931;3291;268;298;89.9;234;251;93.2;55;86;64.0;2;1.7;19;41;17;4;58;Rapport de match
07/12/2019;12:30 (13:30);Premier League;Journ̩e 16;Sam;Ext̩rieur;D;1;3;Everton;543;638;85.1;11571;3533;187;209;89.5;229;251;91.2;119;155;76.8;0;0.8;12;52;20;6;67;Rapport de match
10/12/2019;20:00 (21:00);Champions Lg;Phase de groupe;Mar;Domicile;V;2;1;fr Lille;587;697;84.2;11216;3566;229;265;86.4;239;267;89.5;95;122;77.9;2;2.2;17;44;16;3;64;Rapport de match
14/12/2019;15:00 (16:00);Premier League;Journ̩e 17;Sam;Domicile;D;0;1;Bournemouth;510;648;78.7;11029;2813;160;202;79.2;253;282;89.7;94;144;65.3;0;1.2;9;44;13;7;47;Rapport de match
22/12/2019;16:30 (17:30);Premier League;Journ̩e 18;Dim;Ext̩rieur;V;2;0;Tottenham;488;599;81.5;9824;2922;196;222;88.3;202;233;86.7;81;122;66.4;1;0.4;8;42;12;4;36;Rapport de match
26/12/2019;15:00 (16:00);Premier League;Journ̩e 19;Jeu;Domicile;D;0;2;Southampton;589;730;80.7;11151;3572;229;260;88.1;259;308;84.1;83;121;68.6;0;0.4;9;50;16;0;61;Rapport de match
29/12/2019;14:00 (15:00);Premier League;Journ̩e 20;Dim;Ext̩rieur;V;2;1;Arsenal;507;614;82.6;10532;2785;182;211;86.3;219;247;88.7;91;125;72.8;2;0.5;9;35;9;1;35;Rapport de match
01/01/2020;12:30 (13:30);Premier League;Journ̩e 21;Mer;Ext̩rieur;N;1;1;Brighton;456;573;79.6;8606;2785;195;228;85.5;193;225;85.8;62;99;62.6;0;0.7;11;29;8;2;32;Rapport de match
05/01/2020;14:01 (15:01);FA Cup;Troisi̬me tour;Dim;Domicile;V;2;0;Nott'ham Forest;;;;;;;;;;;;;;;1;;;;;;;Rapport de match
