Shots,Saves,Crosses,Fouls,Offsides,Corners,Yellow Card,Red Cards,Passes,Interceptions,Blocks,Catches,Tackles,liverpool_result_ft,Rest_Days,Elo_Diff,home_0_away_1
20,1,30,9,4,7,1,0,551,3,13,7,17,V,4,263.20568847999994,0
9,4,19,5,2,4,1,0,498,0,33,5,7,N,7,342.2442627000001,1
20,1,38,7,2,9,1,0,542,4,18,6,6,N,4,322.36901855,0
10,3,30,9,0,1,3,0,711,7,12,6,13,D,4,73.09497069999998,1
22,1,27,3,1,7,0,0,676,4,11,3,6,V,7,285.7590332,0
18,2,33,14,5,5,1,0,628,8,19,5,11,V,5,243.92382812000002,0
16,2,28,13,2,7,1,0,585,6,15,5,16,V,8,216.41906737999992,1
22,2,32,8,1,8,1,0,680,2,13,3,16,V,5,290.71032715,0
10,4,12,12,2,4,2,0,410,7,17,4,13,V,7,219.75268555,1
17,2,15,16,2,4,0,0,294,8,18,3,13,V,14,10.847534179999911,1
12,1,23,7,4,5,0,0,681,4,14,5,11,V,4,294.24194336000005,0
13,3,22,8,2,4,2,0,553,8,18,3,14,N,3,86.79602051000006,1
7,2,21,10,2,2,1,0,467,9,19,4,16,N,4,-33.9670410199999,0
11,1,20,6,2,4,2,0,499,9,25,3,11,V,13,386.21496582000015,1
19,0,32,6,0,8,0,0,776,5,14,0,13,V,3,377.84973145,0
13,3,24,7,1,8,1,0,300,5,24,5,11,N,7,90.45996093999996,1
20,3,28,11,2,6,1,0,667,3,17,3,12,V,5,339.0395507799999,0
10,1,22,13,4,5,0,1,559,15,16,4,9,V,13,262.60180663999995,1
16,3,28,12,1,8,3,0,452,3,15,3,11,V,4,202.48352051000006,0
18,5,28,3,3,9,0,0,603,3,12,8,7,V,3,300.9844970700001,1
10,2,17,11,2,6,1,0,561,7,28,2,7,V,3,236.99267577999993,1
36,1,33,6,2,13,0,0,480,5,16,3,12,V,5,88.93078612999989,0
15,5,18,3,2,10,0,0,623,11,24,5,8,V,5,309.31054687999995,1
16,2,38,7,1,10,0,0,659,8,14,7,11,V,5,311.1395263700001,0
15,1,11,8,2,5,1,0,438,14,24,4,10,V,3,101.08325194999998,0
7,2,20,7,1,1,2,0,499,7,16,3,11,D,5,-10.507080079999923,1
10,0,22,5,0,7,0,0,664,8,11,6,13,V,5,305.1094970700001,1
19,0,37,6,1,8,0,1,665,4,21,5,10,V,7,290.7277832,0
10,1,35,13,4,7,1,0,729,7,14,3,6,N,11,267.35314941,0
11,1,22,11,3,5,1,0,618,3,13,6,15,N,5,280.0102539100001,1
20,2,21,14,1,8,2,0,662,9,26,3,20,V,5,267.4415283200001,0
7,3,34,17,1,7,3,0,505,7,14,6,11,N,5,79.45117187999995,1
19,3,32,5,1,6,0,0,558,8,18,4,17,V,3,257.8337402300001,0
10,3,28,10,4,7,2,0,387,14,13,8,9,N,4,264.95910645000004,1
23,0,30,4,2,7,2,0,563,6,16,5,16,V,7,301.4514160199999,0
16,1,42,7,1,10,1,0,532,8,16,4,8,V,4,412.72216797000016,1
14,1,28,5,2,10,0,0,386,5,24,1,6,V,14,79.2221679700001,0
17,0,35,7,3,5,4,0,509,3,11,4,14,V,5,304.79174805,1
15,3,33,5,2,9,0,0,589,11,15,3,15,V,5,129.51538086000005,0
17,2,24,5,2,10,1,0,584,6,18,2,9,V,4,416.70556641000013,1
21,1,20,5,2,4,0,0,668,10,14,4,11,V,5,507.90795898000016,0
11,4,22,4,2,3,1,0,601,4,17,8,7,V,3,303.42053222999994,1
13,2,20,3,3,4,0,0,540,3,15,4,9,V,5,314.16088867000013,0
15,4,45,9,0,11,0,0,408,4,18,6,18,V,9,412.73754882999987,0
15,2,31,6,1,9,1,0,433,5,18,5,10,V,8,382.06579589999996,1
25,2,36,8,1,6,1,0,498,7,18,2,11,V,7,171.8427734400002,0
15,2,23,15,1,4,0,0,438,5,20,6,8,V,7,357.93359375,1
21,0,49,5,2,10,0,0,769,3,11,1,10,V,14,345.50927734000015,0
6,1,15,13,1,4,3,0,322,7,15,4,12,V,5,179.8470459,1
16,2,28,4,1,5,1,0,607,7,18,3,10,V,3,400.78540039,1
18,0,23,9,3,4,1,0,414,12,17,5,10,V,3,273.78515625,0
10,1,32,14,1,1,1,0,554,3,27,4,8,N,15,233.49182129,1
21,3,48,9,0,8,3,0,538,4,16,6,14,V,4,207.35034179999002,0
25,1,47,9,2,10,2,0,575,4,20,2,14,V,6,408.68359375,1
12,2,19,10,3,4,0,0,346,5,24,1,9,V,5,27.6870117200001,0
12,5,30,7,0,8,1,0,434,1,22,9,16,V,13,320.64257812000005,1
15,4,18,3,1,4,0,1,383,10,22,4,9,V,3,410.8458252,0
11,2,16,13,3,5,1,0,419,1,12,5,13,V,4,342.61401367000013,0
21,0,34,6,1,3,1,0,769,4,8,3,9,V,3,367.59387207000015,1
16,2,23,8,5,6,2,0,540,2,7,6,8,V,4,429.0173339799999,0
15,0,34,7,3,8,1,0,523,2,16,3,11,V,5,232.98071289000015,1
10,2,20,7,2,5,1,0,546,4,19,2,11,V,3,295.6369628900002,0
19,2,33,5,1,8,0,0,891,6,6,4,8,V,4,384.15380859000015,0
13,4,27,8,2,3,2,0,685,8,17,11,17,V,6,250.47412109000012,1
16,4,29,7,2,11,1,0,410,4,14,7,11,V,8,254.97216797000007,0
13,2,12,11,0,4,1,0,513,1,13,2,15,V,4,311.77856445,1
13,4,21,6,0,7,0,0,728,2,14,5,6,V,3,394.34912109000015,1
16,4,15,9,2,6,0,0,415,4,21,4,8,V,3,380.60449219000014,0
17,1,35,11,0,7,2,0,560,4,14,3,10,V,11,480.49731445,1
25,2,41,4,2,16,0,0,552,2,15,3,11,V,6,399.74145507999987,0
7,2,32,8,1,5,0,0,596,4,18,4,4,D,5,413.89550780999986,1
14,2,36,10,1,9,0,0,637,4,12,1,7,V,4,407.10473632999987,0
10,3,8,12,1,6,2,0,639,2,9,3,20,N,102,287.29455566,1
21,0,18,9,0,6,0,0,929,4,8,0,15,V,3,282.28186035,0
11,2,21,7,2,3,2,0,469,6,13,6,11,D,8,47.886596679999904,1
6,3,32,18,1,7,1,0,585,3,8,5,9,V,3,406.73840332000015,0
19,1,32,15,0,10,4,0,431,3,17,3,8,V,3,350.94079589999996,1
23,1,36,7,2,11,1,0,600,6,12,5,5,N,3,280.79724121000004,0
24,0,36,10,4,13,1,0,558,6,15,5,7,D,4,198.45800781000003,1
