Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,KP,1/3,PPA,CrsPA,Prog
2018-10-28,16:15,La Liga,Matchweek 10,Sun,Home,W,5,1,Real Madrid,508,583,87.1,9645,3295,219,245,89.4,209,228,91.7,76,102,74.5,4,2.2,11,43,11,4,46
2018-10-31,21:30,Copa del Rey,Round of 32,Wed,Away,W,1,0,Leonesa,,,,,,,,,,,,,,,1,,,,,,
2018-11-03,20:45,La Liga,Matchweek 11,Sat,Away,W,3,2,Rayo Vallecano,639,747,85.5,12730,3838,239,264,90.5,297,338,87.9,98,126,77.8,3,1.1,8,62,11,4,51
2018-11-06,21:00,Champions Lg,Group stage,Tue,Away,D,1,1,it Inter,701,792,88.5,12416,3603,321,343,93.6,287,310,92.6,83,115,72.2,1,1.2,19,60,7,0,59
2018-11-11,16:15,La Liga,Matchweek 12,Sun,Home,L,3,4,Betis,464,553,83.9,8666,3257,212,233,91.0,186,217,85.7,61,87,70.1,2,2.7,16,30,11,1,48
2018-11-24,20:45,La Liga,Matchweek 13,Sat,Away,D,1,1,Atlético Madrid,680,758,89.7,11460,3060,328,356,92.1,278,305,91.1,60,76,78.9,1,0.2,2,58,12,0,49
2018-11-28,21:00,Champions Lg,Group stage,Wed,Away,W,2,1,nl PSV Eindhoven,592,695,85.2,10919,3421,254,287,88.5,242,278,87.1,78,101,77.2,2,1.4,16,40,17,2,45
2018-12-02,18:30,La Liga,Matchweek 14,Sun,Home,W,2,0,Villarreal,644,716,89.9,11553,3014,304,326,93.3,259,281,92.2,68,86,79.1,2,0.8,11,40,15,3,34
2018-12-05,21:30,Copa del Rey,Round of 32,Wed,Home,W,4,1,Leonesa,,,,,,,,,,,,,,,4,,,,,,
2018-12-08,20:45,La Liga,Matchweek 15,Sat,Away,W,4,0,Espanyol,535,617,86.7,9458,3001,253,274,92.3,207,237,87.3,64,91,70.3,2,2.0,12,31,13,1,38
2018-12-11,21:00,Champions Lg,Group stage,Tue,Home,D,1,1,eng Tottenham,471,546,86.3,8780,2654,209,229,91.3,187,209,89.5,66,92,71.7,0,0.7,12,19,2,0,20
2018-12-16,20:45,La Liga,Matchweek 16,Sun,Away,W,5,0,Levante,496,562,88.3,8459,3083,235,255,92.2,200,217,92.2,47,68,69.1,4,2.7,12,27,5,0,31
2018-12-22,18:30,La Liga,Matchweek 17,Sat,Home,W,2,0,Celta Vigo,508,588,86.4,9683,2936,219,242,90.5,187,209,89.5,86,110,78.2,1,0.7,6,33,9,1,36
2019-01-06,20:45,La Liga,Matchweek 18,Sun,Away,W,2,1,Getafe,693,765,90.6,12874,3614,318,333,95.5,282,304,92.8,84,108,77.8,0,1.1,7,36,8,2,35
2019-01-10,21:30,Copa del Rey,Round of 16,Thu,Away,L,1,2,Levante,,,,,,,,,,,,,,,0,,,,,,
2019-01-13,18:30,La Liga,Matchweek 19,Sun,Home,W,3,0,Eibar,554,651,85.1,10127,3433,258,279,92.5,223,254,87.8,68,100,68.0,3,1.4,7,23,8,2,27
2019-01-17,21:30,Copa del Rey,Round of 16,Thu,Home,W,3,0,Levante,,,,,,,,,,,,,,,2,,,,,,
