season,contests,date_match,home_team,away_team,at_anfield,Goals,Assists,Formation,Shots,Shots On Target,Saves,Penalties won,Penalties scored,Crosses,Fouls,Offsides,Corners,Yellow Card,Red Cards,Balls touched,Passes,liverpool_score,Interceptions,Blocks,Catches,Tackles,Possession,Elo_Liverpool,Elo_Opponent,Elo_Diff,Rest_Days,liverpool_score_ft,liverpool_score_ht,opponent_score_ft,opponent_score_ht,liverpool_result_ft,liverpool_result_ht
2012 - 2013,English Premier League,2013-01-19,Liverpool,Norwich City,True,5,3,4-3-3,18,10,2,0,0,28,10,2,9,1,0,785,582,V,7,2,1,2,64%,1724.49072266,1622,102.49072266000007,6,5,2,0,0,V,V
2012 - 2013,English Premier League,2013-01-30,Arsenal FC,Liverpool,False,2,1,4-3-3,11,6,5,0,0,14,11,3,6,1,0,561,286,N,39,8,1,4,39%,1734.50634766,1789,-54.493652339999926,3,2,1,2,0,N,V
2012 - 2013,English Premier League,2013-02-03,Manchester City,Liverpool,False,2,1,4-2-3-1,18,6,1,0,0,20,8,2,10,4,0,607,347,N,20,3,0,3,53%,1737.39440918,1878,-140.6055908200001,4,2,1,2,1,N,N
2012 - 2013,English Premier League,2013-02-11,Liverpool,West Bromwich Albion FC,True,0,0,4-2-3-1,25,7,1,1,0,32,10,5,13,1,0,819,427,D,130,1,0,5,58%,1742.52172852,1652,90.5217285199999,8,0,0,2,0,D,N
2012 - 2013,English Premier League,2013-02-17,Liverpool,Swansea City,True,5,3,4-2-3-1,33,18,3,2,2,11,6,1,10,0,0,641,390,V,49,5,0,0,55%,1717.7947998,1680,37.794799799999964,3,5,1,0,0,V,V
2012 - 2013,English Premier League,2013-03-02,Wigan Athletic,Liverpool,False,4,3,4-2-3-1,8,7,10,0,0,3,15,4,3,2,0,543,304,V,46,4,1,2,41%,1738.38793945,1622,116.38793944999998,9,4,3,0,0,V,V
2012 - 2013,English Premier League,2013-03-10,Liverpool,Tottenham Hotspur,True,3,1,4-2-3-1,11,5,6,1,1,9,9,6,1,1,0,442,215,V,29,6,1,1,41%,1749.65100098,1820,-70.34899902000006,8,3,1,2,1,V,N
2012 - 2013,English Premier League,2013-03-16,FC Southampton,Liverpool,False,1,0,4-2-3-1,8,6,8,0,0,9,10,6,5,1,0,683,348,D,78,6,3,0,55%,1763.78649902,1599,164.78649902000006,6,1,1,3,2,D,D
2012 - 2013,English Premier League,2013-03-31,Aston Villa,Liverpool,False,2,1,4-2-3-1,17,13,3,1,1,7,9,6,8,1,0,737,438,V,88,1,2,0,55%,1748.75964355,1618,130.75964354999996,15,2,0,1,1,V,D
2012 - 2013,English Premier League,2013-04-07,Liverpool,West Ham United,True,0,0,4-3-3,19,12,4,0,0,6,8,4,12,0,0,630,388,N,4,0,0,1,55%,1754.06286621,1632,122.06286621000004,7,0,0,0,0,N,N
2012 - 2013,English Premier League,2013-04-13,Reading FC,Liverpool,False,0,0,4-3-3,26,15,5,0,0,0,9,6,9,1,0,847,395,N,154,4,1,10,67%,1749.46081543,1558,191.4608154299999,6,0,0,0,0,N,N
2012 - 2013,English Premier League,2013-04-21,Liverpool,Chelsea,True,2,2,4-2-3-1,23,12,5,0,0,12,9,1,8,5,0,541,328,N,6,3,1,1,55%,1745.87280273,1841,-95.1271972699999,8,2,0,2,1,N,D
2012 - 2013,English Premier League,2013-04-27,Newcastle United FC,Liverpool,False,6,5,4-2-3-1,11,10,1,0,0,0,7,5,7,2,0,719,402,V,95,3,0,0,48%,1748.60168457,1671,77.60168457000009,6,6,2,0,0,V,V
2012 - 2013,English Premier League,2013-05-05,Liverpool,Everton FC,True,0,0,4-2-3-1,16,8,4,0,0,19,10,3,3,1,0,598,255,N,47,13,1,4,44%,1767.93225098,1782,-14.067749020000065,8,0,0,0,0,N,N
2012 - 2013,English Premier League,2013-05-12,Fulham FC,Liverpool,False,3,3,3-5-2,19,13,4,0,0,11,10,2,8,1,0,762,475,V,69,4,2,12,53%,1766.53271484,1646,120.53271483999993,7,3,1,1,1,V,N
2012 - 2013,English Premier League,2013-05-19,Liverpool,Queens Park Rangers,True,1,1,4-4-2,27,20,0,0,0,0,7,2,14,1,0,798,514,V,39,5,0,5,69%,1778.16760254,1554,224.16760253999996,7,1,1,0,0,V,V
